sample_id,network,topology_id,split,converged,fold
124,case33bw,35,train,1,2
125,case33bw,59,selection,1,-1
126,case33bw,58,test,1,-1
127,case33bw,2,train,1,0
128,case33bw,57,train,1,2
129,case33bw,48,train,1,0
130,case33bw,20,selection,1,-1
131,case33bw,22,test,1,-1
132,case33bw,14,train,1,1
133,case33bw,56,train,1,1
134,case33bw,17,test,1,-1
135,case33bw,12,selection,1,-1
136,case33bw,51,train,1,2
137,case33bw,23,train,1,0
138,case33bw,22,test,1,-1
139,case33bw,13,train,1,1
140,case33bw,1,train,1,1
141,case33bw,19,test,1,-1
142,case33bw,49,train,1,0
143,case33bw,30,train,1,2
144,case33bw,15,selection,1,-1
145,case33bw,30,train,1,2
146,case33bw,17,test,1,-1
147,case33bw,53,selection,1,-1
148,case33bw,54,train,1,2
149,case33bw,30,train,1,2
150,case33bw,25,test,1,-1
151,case33bw,32,train,1,0
152,case33bw,17,test,1,-1
153,case33bw,12,selection,1,-1
154,case33bw,14,train,1,1
155,case33bw,36,calibration,1,-1
156,case33bw,2,train,1,0
157,case33bw,0,train,1,0
158,case33bw,33,calibration,1,-1
159,case33bw,49,train,1,0
160,case33bw,47,train,1,2
161,case33bw,34,train,1,2
162,case33bw,31,train,1,2
163,case33bw,28,calibration,1,-1
164,case33bw,3,train,1,1
165,case33bw,42,calibration,1,-1
166,case33bw,33,calibration,1,-1
167,case33bw,2,train,1,0
168,case33bw,10,train,1,1
169,case33bw,42,calibration,1,-1
170,case33bw,32,train,1,0
171,case33bw,33,calibration,1,-1
172,case33bw,2,train,1,0
173,case33bw,5,test,1,-1
174,case33bw,6,train,1,1
175,case33bw,10,train,1,1
176,case33bw,4,selection,1,-1
177,case33bw,5,test,1,-1
178,case33bw,8,selection,1,-1
179,case33bw,15,selection,1,-1
180,case33bw,34,train,1,2
181,case33bw,0,train,1,0
182,case33bw,12,selection,1,-1
183,case33bw,39,test,1,-1
184,case33bw,17,test,1,-1
185,case33bw,2,train,1,0
186,case33bw,41,calibration,1,-1
187,case33bw,22,test,1,-1
188,case33bw,34,train,1,2
189,case33bw,15,selection,1,-1
190,case33bw,6,train,1,1
191,case33bw,31,train,1,2
192,case33bw,34,train,1,2
193,case33bw,17,test,1,-1
194,case33bw,29,calibration,1,-1
195,case33bw,7,selection,1,-1
196,case33bw,27,calibration,1,-1
197,case33bw,49,train,1,0
198,case33bw,44,selection,1,-1
199,case33bw,56,train,1,1
200,case33bw,54,train,1,2
201,case33bw,33,calibration,1,-1
202,case33bw,20,selection,1,-1
203,case33bw,21,train,1,0
204,case33bw,28,calibration,1,-1
205,case33bw,1,train,1,1
206,case33bw,43,calibration,1,-1
207,case33bw,29,calibration,1,-1
208,case33bw,52,test,1,-1
209,case33bw,52,test,1,-1
210,case33bw,5,test,1,-1
211,case33bw,57,train,1,2
212,case33bw,39,test,1,-1
213,case33bw,14,train,1,1
214,case33bw,1,train,1,1
215,case33bw,26,train,1,0
216,case33bw,15,selection,1,-1
217,case33bw,47,train,1,2
218,case33bw,25,test,1,-1
219,case33bw,4,selection,1,-1
220,case33bw,52,test,1,-1
221,case33bw,49,train,1,0
222,case33bw,12,selection,1,-1
223,case33bw,42,calibration,1,-1
224,case33bw,18,train,1,0
225,case33bw,23,train,1,0
226,case33bw,53,selection,1,-1
227,case33bw,17,test,1,-1
228,case33bw,26,train,1,0
229,case33bw,17,test,1,-1
230,case33bw,45,train,1,0
231,case33bw,2,train,1,0
232,case33bw,15,selection,1,-1
233,case33bw,9,train,1,2
234,case33bw,17,test,1,-1
235,case33bw,16,test,1,-1
236,case33bw,52,test,1,-1
237,case33bw,6,train,1,1
238,case33bw,33,calibration,1,-1
239,case33bw,55,train,1,1
240,case33bw,42,calibration,1,-1
241,case33bw,47,train,1,2
242,case33bw,8,selection,1,-1
243,case33bw,1,train,1,1
244,case33bw,48,train,1,0
245,case33bw,8,selection,1,-1
246,case33bw,48,train,1,0
247,case33bw,28,calibration,1,-1
248,case33bw,58,test,1,-1
249,case33bw,51,train,1,2
250,case33bw,23,train,1,0
251,case33bw,28,calibration,1,-1
252,case33bw,33,calibration,1,-1
253,case33bw,57,train,1,2
254,case33bw,2,train,1,0
255,case33bw,32,train,1,0
256,case33bw,26,train,1,0
257,case33bw,17,test,1,-1
258,case33bw,57,train,1,2
259,case33bw,22,test,1,-1
260,case33bw,35,train,1,2
261,case33bw,16,test,1,-1
262,case33bw,5,test,0,-1
263,case33bw,23,train,1,0
264,case33bw,17,test,1,-1
265,case33bw,59,selection,1,-1
266,case33bw,5,test,1,-1
267,case33bw,6,train,1,1
268,case33bw,34,train,1,2
269,case33bw,24,train,1,2
270,case33bw,56,train,1,1
271,case33bw,59,selection,1,-1
272,case33bw,16,test,1,-1
273,case33bw,34,train,1,2
274,case33bw,58,test,1,-1
275,case33bw,44,selection,1,-1
276,case33bw,49,train,1,0
277,case33bw,7,selection,1,-1
278,case33bw,8,selection,1,-1
279,case33bw,9,train,1,2
280,case33bw,49,train,1,0
281,case33bw,54,train,1,2
282,case33bw,28,calibration,1,-1
283,case33bw,22,test,1,-1
284,case33bw,28,calibration,1,-1
285,case33bw,55,train,1,1
286,case33bw,33,calibration,1,-1
287,case33bw,10,train,1,1
288,case33bw,59,selection,1,-1
289,case33bw,40,train,1,1
290,case33bw,20,selection,1,-1
291,case33bw,46,train,1,1
292,case33bw,56,train,1,1
293,case33bw,44,selection,1,-1
294,case33bw,34,train,1,2
295,case33bw,9,train,1,2
296,case33bw,59,selection,1,-1
297,case33bw,7,selection,1,-1
298,case33bw,48,train,1,0
299,case33bw,46,train,1,1
300,case33bw,50,train,1,0
301,case33bw,24,train,1,2
302,case33bw,33,calibration,1,-1
303,case33bw,58,test,1,-1
304,case33bw,23,train,1,0
305,case33bw,0,train,1,0
306,case33bw,6,train,1,1
307,case33bw,35,train,1,2
308,case33bw,39,test,1,-1
309,case33bw,17,test,1,-1
310,case33bw,57,train,1,2
311,case33bw,41,calibration,1,-1
312,case33bw,11,calibration,1,-1
313,case33bw,38,train,1,1
314,case33bw,5,test,0,-1
315,case33bw,37,train,1,2
316,case33bw,22,test,1,-1
317,case33bw,34,train,1,2
318,case33bw,14,train,1,1
319,case33bw,2,train,1,0
320,case33bw,22,test,1,-1
321,case33bw,24,train,1,2
322,case33bw,19,test,1,-1
323,case33bw,6,train,1,1
324,case33bw,41,calibration,1,-1
325,case33bw,14,train,1,1
326,case33bw,44,selection,1,-1
327,case33bw,28,calibration,1,-1
328,case33bw,12,selection,1,-1
329,case33bw,55,train,1,1
330,case33bw,55,train,1,1
331,case33bw,0,train,1,0
332,case33bw,37,train,1,2
333,case33bw,53,selection,1,-1
334,case33bw,59,selection,1,-1
335,case33bw,39,test,1,-1
336,case33bw,22,test,1,-1
337,case33bw,9,train,1,2
338,case33bw,48,train,1,0
339,case33bw,14,train,1,1
340,case33bw,26,train,1,0
341,case33bw,7,selection,1,-1
342,case33bw,34,train,1,2
343,case33bw,49,train,1,0
344,case33bw,50,train,1,0
345,case33bw,10,train,1,1
346,case33bw,3,train,1,1
347,case33bw,40,train,1,1
348,case33bw,26,train,1,0
349,case33bw,45,train,1,0
350,case33bw,3,train,1,1
351,case33bw,45,train,1,0
352,case33bw,17,test,1,-1
353,case33bw,45,train,1,0
354,case33bw,26,train,1,0
355,case33bw,34,train,1,2
356,case33bw,19,test,1,-1
357,case33bw,40,train,1,1
358,case33bw,40,train,1,1
359,case33bw,55,train,1,1
360,case33bw,58,test,1,-1
361,case33bw,18,train,1,0
362,case33bw,26,train,1,0
363,case33bw,36,calibration,1,-1
364,case33bw,21,train,1,0
365,case33bw,6,train,1,1
366,case33bw,46,train,1,1
367,case33bw,28,calibration,1,-1
368,case33bw,50,train,1,0
369,case33bw,59,selection,1,-1
370,case33bw,25,test,1,-1
371,case33bw,21,train,1,0
372,case33bw,12,selection,1,-1
373,case33bw,15,selection,1,-1
374,case33bw,20,selection,1,-1
375,case33bw,28,calibration,1,-1
376,case33bw,52,test,1,-1
377,case33bw,27,calibration,1,-1
378,case33bw,24,train,1,2
379,case33bw,40,train,1,1
380,case33bw,36,calibration,1,-1
381,case33bw,24,train,1,2
382,case33bw,6,train,1,1
383,case33bw,39,test,1,-1
384,case33bw,15,selection,1,-1
385,case33bw,38,train,1,1
386,case33bw,36,calibration,1,-1
387,case33bw,37,train,1,2
388,case33bw,7,selection,1,-1
389,case33bw,9,train,1,2
390,case33bw,48,train,1,0
391,case33bw,34,train,1,2
392,case33bw,35,train,1,2
393,case33bw,52,test,1,-1
394,case33bw,32,train,1,0
395,case33bw,12,selection,1,-1
396,case33bw,40,train,1,1
397,case33bw,47,train,1,2
398,case33bw,50,train,1,0
399,case33bw,6,train,1,1
400,case33bw,37,train,1,2
401,case33bw,49,train,1,0
402,case33bw,46,train,1,1
403,case33bw,50,train,1,0
404,case33bw,26,train,1,0
405,case33bw,15,selection,1,-1
406,case33bw,54,train,1,2
407,case33bw,40,train,1,1
408,case33bw,31,train,1,2
409,case33bw,2,train,1,0
410,case33bw,15,selection,1,-1
411,case33bw,19,test,1,-1
412,case33bw,29,calibration,1,-1
413,case33bw,18,train,1,0
414,case33bw,32,train,1,0
415,case33bw,4,selection,1,-1
416,case33bw,17,test,1,-1
417,case33bw,25,test,1,-1
418,case33bw,25,test,1,-1
419,case33bw,45,train,1,0
420,case33bw,34,train,1,2
421,case33bw,12,selection,1,-1
422,case33bw,49,train,1,0
423,case33bw,9,train,1,2
424,case33bw,32,train,1,0
425,case33bw,35,train,1,2
426,case33bw,11,calibration,1,-1
427,case33bw,3,train,1,1
428,case33bw,11,calibration,1,-1
429,case33bw,9,train,1,2
430,case33bw,3,train,1,1
431,case33bw,17,test,1,-1
432,case33bw,44,selection,1,-1
433,case33bw,8,selection,1,-1
434,case33bw,16,test,1,-1
435,case33bw,37,train,1,2
436,case33bw,1,train,1,1
437,case33bw,9,train,1,2
438,case33bw,13,train,1,1
439,case33bw,39,test,1,-1
440,case33bw,58,test,1,-1
441,case33bw,12,selection,1,-1
442,case33bw,50,train,1,0
443,case33bw,3,train,1,1
444,case33bw,10,train,1,1
445,case33bw,48,train,1,0
446,case33bw,30,train,1,2
447,case33bw,30,train,1,2
448,case33bw,31,train,1,2
449,case33bw,32,train,1,0
450,case33bw,49,train,1,0
451,case33bw,29,calibration,1,-1
452,case33bw,47,train,1,2
453,case33bw,11,calibration,1,-1
454,case33bw,14,train,1,1
455,case33bw,24,train,1,2
456,case33bw,58,test,1,-1
457,case33bw,49,train,1,0
458,case33bw,11,calibration,1,-1
459,case33bw,28,calibration,1,-1
460,case33bw,50,train,1,0
461,case33bw,2,train,1,0
462,case33bw,24,train,1,2
463,case33bw,47,train,1,2
464,case33bw,6,train,1,1
465,case33bw,22,test,1,-1
466,case33bw,46,train,1,1
467,case33bw,36,calibration,1,-1
468,case33bw,10,train,1,1
469,case33bw,5,test,1,-1
470,case33bw,27,calibration,1,-1
471,case33bw,25,test,1,-1
472,case33bw,35,train,1,2
473,case33bw,42,calibration,1,-1
474,case33bw,14,train,1,1
475,case33bw,38,train,1,1
476,case33bw,38,train,1,1
477,case33bw,28,calibration,1,-1
478,case33bw,26,train,1,0
479,case33bw,22,test,1,-1
480,case33bw,37,train,1,2
481,case33bw,37,train,1,2
482,case33bw,31,train,1,2
483,case33bw,39,test,1,-1
484,case33bw,38,train,1,1
485,case33bw,35,train,1,2
486,case33bw,57,train,1,2
487,case33bw,26,train,1,0
488,case33bw,22,test,1,-1
489,case33bw,21,train,1,0
490,case33bw,29,calibration,1,-1
491,case33bw,11,calibration,1,-1
492,case33bw,48,train,1,0
493,case33bw,5,test,0,-1
494,case33bw,27,calibration,1,-1
495,case33bw,2,train,1,0
496,case33bw,0,train,1,0
497,case33bw,27,calibration,1,-1
498,case33bw,36,calibration,1,-1
499,case33bw,51,train,1,2
500,case33bw,54,train,1,2
501,case33bw,52,test,1,-1
502,case33bw,57,train,1,2
503,case33bw,40,train,1,1
504,case33bw,18,train,1,0
505,case33bw,40,train,1,1
506,case33bw,36,calibration,1,-1
507,case33bw,20,selection,1,-1
508,case33bw,37,train,1,2
509,case33bw,48,train,1,0
510,case33bw,35,train,1,2
511,case33bw,9,train,1,2
512,case33bw,21,train,1,0
513,case33bw,7,selection,1,-1
514,case33bw,34,train,1,2
515,case33bw,59,selection,1,-1
516,case33bw,13,train,1,1
517,case33bw,7,selection,1,-1
518,case33bw,51,train,1,2
519,case33bw,52,test,1,-1
520,case33bw,40,train,1,1
521,case33bw,23,train,1,0
522,case33bw,20,selection,1,-1
523,case33bw,21,train,1,0
524,case33bw,14,train,1,1
525,case33bw,4,selection,1,-1
526,case33bw,16,test,1,-1
527,case33bw,53,selection,1,-1
528,case33bw,44,selection,1,-1
529,case33bw,31,train,1,2
530,case33bw,29,calibration,1,-1
531,case33bw,19,test,1,-1
532,case33bw,14,train,1,1
533,case33bw,8,selection,1,-1
534,case33bw,2,train,1,0
535,case33bw,41,calibration,1,-1
536,case33bw,17,test,1,-1
537,case33bw,19,test,1,-1
538,case33bw,39,test,1,-1
539,case33bw,0,train,1,0
540,case33bw,19,test,1,-1
541,case33bw,35,train,1,2
542,case33bw,36,calibration,1,-1
543,case33bw,9,train,1,2
544,case33bw,27,calibration,1,-1
545,case33bw,8,selection,1,-1
546,case33bw,34,train,1,2
547,case33bw,0,train,1,0
548,case33bw,47,train,1,2
549,case33bw,55,train,1,1
550,case33bw,10,train,1,1
551,case33bw,54,train,1,2
552,case33bw,56,train,1,1
553,case33bw,41,calibration,1,-1
554,case33bw,6,train,1,1
555,case33bw,26,train,1,0
556,case33bw,28,calibration,1,-1
557,case33bw,9,train,1,2
558,case33bw,37,train,1,2
559,case33bw,31,train,1,2
560,case33bw,20,selection,1,-1
561,case33bw,30,train,1,2
562,case33bw,45,train,1,0
563,case33bw,27,calibration,1,-1
564,case33bw,2,train,1,0
565,case33bw,53,selection,1,-1
566,case33bw,59,selection,1,-1
567,case33bw,26,train,1,0
568,case33bw,57,train,1,2
569,case33bw,58,test,1,-1
570,case33bw,33,calibration,1,-1
571,case33bw,38,train,1,1
572,case33bw,10,train,1,1
573,case33bw,37,train,1,2
574,case33bw,26,train,1,0
575,case33bw,7,selection,1,-1
576,case33bw,44,selection,1,-1
577,case33bw,38,train,1,1
578,case33bw,44,selection,1,-1
579,case33bw,51,train,1,2
580,case33bw,7,selection,1,-1
581,case33bw,17,test,1,-1
582,case33bw,45,train,1,0
583,case33bw,27,calibration,1,-1
584,case33bw,0,train,1,0
585,case33bw,56,train,1,1
586,case33bw,36,calibration,1,-1
587,case33bw,28,calibration,1,-1
588,case33bw,9,train,1,2
589,case33bw,21,train,1,0
590,case33bw,4,selection,1,-1
591,case33bw,36,calibration,1,-1
592,case33bw,5,test,1,-1
593,case33bw,24,train,1,2
594,case33bw,11,calibration,1,-1
595,case33bw,10,train,1,1
596,case33bw,44,selection,1,-1
597,case33bw,29,calibration,1,-1
598,case33bw,11,calibration,1,-1
599,case33bw,46,train,1,1
600,case33bw,47,train,1,2
601,case33bw,15,selection,1,-1
602,case33bw,19,test,1,-1
603,case33bw,15,selection,1,-1
604,case33bw,29,calibration,1,-1
605,case33bw,34,train,1,2
606,case33bw,46,train,1,1
607,case33bw,9,train,1,2
608,case33bw,56,train,1,1
609,case33bw,57,train,1,2
610,case33bw,45,train,1,0
611,case33bw,27,calibration,1,-1
612,case33bw,57,train,1,2
613,case33bw,26,train,1,0
614,case33bw,27,calibration,1,-1
615,case33bw,59,selection,1,-1
616,case33bw,43,calibration,1,-1
617,case33bw,7,selection,1,-1
618,case33bw,28,calibration,1,-1
619,case33bw,39,test,1,-1
620,case33bw,7,selection,1,-1
621,case33bw,49,train,1,0
622,case33bw,48,train,1,0
623,case33bw,28,calibration,1,-1
624,case33bw,40,train,1,1
625,case33bw,31,train,1,2
626,case33bw,32,train,1,0
627,case33bw,28,calibration,1,-1
628,case33bw,15,selection,1,-1
629,case33bw,29,calibration,1,-1
630,case33bw,51,train,1,2
631,case33bw,23,train,1,0
632,case33bw,21,train,1,0
633,case33bw,10,train,1,1
634,case33bw,37,train,1,2
635,case33bw,46,train,1,1
636,case33bw,17,test,1,-1
637,case33bw,56,train,1,1
638,case33bw,44,selection,1,-1
639,case33bw,10,train,1,1
640,case33bw,59,selection,1,-1
641,case33bw,30,train,1,2
642,case33bw,0,train,1,0
643,case33bw,44,selection,1,-1
644,case33bw,47,train,1,2
645,case33bw,24,train,1,2
646,case33bw,22,test,1,-1
647,case33bw,9,train,1,2
648,case33bw,59,selection,1,-1
649,case33bw,16,test,1,-1
650,case33bw,7,selection,1,-1
651,case33bw,12,selection,1,-1
652,case33bw,34,train,1,2
653,case33bw,59,selection,1,-1
654,case33bw,47,train,1,2
655,case33bw,27,calibration,1,-1
656,case33bw,21,train,1,0
657,case33bw,55,train,1,1
658,case33bw,22,test,1,-1
659,case33bw,21,train,1,0
660,case33bw,55,train,1,1
661,case33bw,12,selection,1,-1
662,case33bw,39,test,1,-1
663,case33bw,15,selection,1,-1
664,case33bw,44,selection,1,-1
665,case33bw,55,train,1,1
666,case33bw,2,train,1,0
667,case33bw,3,train,1,1
668,case33bw,44,selection,1,-1
669,case33bw,24,train,1,2
670,case33bw,33,calibration,1,-1
671,case33bw,18,train,1,0
672,case33bw,45,train,1,0
673,case33bw,47,train,1,2
674,case33bw,36,calibration,1,-1
675,case33bw,32,train,1,0
676,case33bw,16,test,1,-1
677,case33bw,25,test,1,-1
678,case33bw,36,calibration,1,-1
679,case33bw,49,train,1,0
680,case33bw,33,calibration,1,-1
681,case33bw,36,calibration,1,-1
682,case33bw,56,train,1,1
683,case33bw,53,selection,1,-1
684,case33bw,11,calibration,1,-1
685,case33bw,18,train,1,0
686,case33bw,18,train,1,0
687,case33bw,55,train,1,1
688,case33bw,54,train,1,2
689,case33bw,47,train,1,2
690,case33bw,17,test,1,-1
691,case33bw,4,selection,1,-1
692,case33bw,45,train,1,0
693,case33bw,54,train,1,2
694,case33bw,16,test,1,-1
695,case33bw,24,train,1,2
696,case33bw,54,train,1,2
697,case33bw,28,calibration,1,-1
698,case33bw,45,train,1,0
699,case33bw,34,train,1,2
700,case33bw,12,selection,1,-1
701,case33bw,33,calibration,1,-1
702,case33bw,55,train,1,1
703,case33bw,7,selection,1,-1
704,case33bw,0,train,1,0
705,case33bw,3,train,1,1
706,case33bw,37,train,1,2
707,case33bw,7,selection,1,-1
708,case33bw,5,test,1,-1
709,case33bw,48,train,1,0
710,case33bw,42,calibration,1,-1
711,case33bw,52,test,1,-1
712,case33bw,52,test,1,-1
713,case33bw,19,test,1,-1
714,case33bw,1,train,1,1
715,case33bw,3,train,1,1
716,case33bw,3,train,1,1
717,case33bw,19,test,1,-1
718,case33bw,39,test,1,-1
719,case33bw,15,selection,1,-1
720,case33bw,33,calibration,1,-1
721,case33bw,17,test,1,-1
722,case33bw,11,calibration,1,-1
723,case33bw,7,selection,1,-1
724,case33bw,3,train,1,1
725,case33bw,1,train,1,1
726,case33bw,48,train,1,0
727,case33bw,31,train,1,2
728,case33bw,36,calibration,1,-1
729,case33bw,16,test,1,-1
730,case33bw,5,test,1,-1
731,case33bw,34,train,1,2
732,case33bw,25,test,1,-1
733,case33bw,24,train,1,2
734,case33bw,24,train,1,2
735,case33bw,16,test,1,-1
736,case33bw,25,test,1,-1
737,case33bw,49,train,1,0
738,case33bw,45,train,1,0
739,case33bw,4,selection,1,-1
740,case33bw,48,train,1,0
741,case33bw,57,train,1,2
742,case33bw,43,calibration,1,-1
743,case33bw,29,calibration,1,-1
744,case33bw,27,calibration,1,-1
745,case33bw,52,test,1,-1
746,case33bw,53,selection,1,-1
747,case33bw,41,calibration,1,-1
748,case33bw,48,train,1,0
749,case33bw,41,calibration,1,-1
750,case33bw,24,train,1,2
751,case33bw,55,train,1,1
752,case33bw,47,train,1,2
753,case33bw,4,selection,1,-1
754,case33bw,24,train,1,2
755,case33bw,30,train,1,2
756,case33bw,37,train,1,2
757,case33bw,5,test,1,-1
758,case33bw,3,train,1,1
759,case33bw,9,train,1,2
760,case33bw,31,train,1,2
761,case33bw,33,calibration,1,-1
762,case33bw,5,test,1,-1
763,case33bw,12,selection,1,-1
764,case33bw,47,train,1,2
765,case33bw,34,train,1,2
766,case33bw,44,selection,1,-1
767,case33bw,16,test,1,-1
768,case33bw,22,test,1,-1
769,case33bw,55,train,1,1
770,case33bw,5,test,1,-1
771,case33bw,33,calibration,1,-1
772,case33bw,52,test,1,-1
773,case33bw,35,train,1,2
774,case33bw,10,train,1,1
775,case33bw,47,train,1,2
776,case33bw,5,test,0,-1
777,case33bw,36,calibration,1,-1
778,case33bw,30,train,1,2
779,case33bw,14,train,1,1
780,case33bw,11,calibration,1,-1
781,case33bw,31,train,1,2
782,case33bw,53,selection,1,-1
783,case33bw,18,train,1,0
784,case33bw,34,train,1,2
785,case33bw,1,train,1,1
786,case33bw,24,train,1,2
787,case33bw,15,selection,1,-1
788,case33bw,37,train,1,2
789,case33bw,1,train,1,1
790,case33bw,39,test,1,-1
791,case33bw,29,calibration,1,-1
792,case33bw,26,train,1,0
793,case33bw,23,train,1,0
794,case33bw,0,train,1,0
795,case33bw,50,train,1,0
796,case33bw,12,selection,1,-1
797,case33bw,22,test,1,-1
798,case33bw,52,test,1,-1
799,case33bw,45,train,1,0
800,case33bw,48,train,1,0
801,case33bw,2,train,1,0
802,case33bw,40,train,1,1
803,case33bw,52,test,1,-1
804,case33bw,53,selection,1,-1
805,case33bw,48,train,1,0
806,case33bw,19,test,1,-1
807,case33bw,38,train,1,1
808,case33bw,34,train,1,2
809,case33bw,38,train,1,1
810,case33bw,3,train,1,1
811,case33bw,18,train,1,0
812,case33bw,58,test,1,-1
813,case33bw,1,train,1,1
814,case33bw,23,train,1,0
815,case33bw,10,train,1,1
816,case33bw,44,selection,1,-1
817,case33bw,26,train,1,0
818,case33bw,11,calibration,1,-1
819,case33bw,55,train,1,1
820,case33bw,14,train,1,1
821,case33bw,38,train,1,1
822,case33bw,45,train,1,0
823,case33bw,15,selection,1,-1
824,case33bw,1,train,1,1
825,case33bw,54,train,1,2
826,case33bw,22,test,1,-1
827,case33bw,53,selection,1,-1
828,case33bw,53,selection,1,-1
829,case33bw,28,calibration,1,-1
830,case33bw,27,calibration,1,-1
831,case33bw,43,calibration,1,-1
832,case33bw,42,calibration,1,-1
833,case33bw,42,calibration,1,-1
834,case33bw,52,test,1,-1
835,case33bw,2,train,1,0
836,case33bw,44,selection,1,-1
837,case33bw,16,test,1,-1
838,case33bw,44,selection,1,-1
839,case33bw,45,train,1,0
840,case33bw,54,train,1,2
841,case33bw,12,selection,1,-1
842,case33bw,0,train,1,0
843,case33bw,3,train,1,1
844,case33bw,7,selection,1,-1
845,case33bw,3,train,1,1
846,case33bw,3,train,1,1
847,case33bw,19,test,1,-1
848,case33bw,20,selection,1,-1
849,case33bw,4,selection,1,-1
850,case33bw,54,train,1,2
851,case33bw,23,train,1,0
852,case33bw,40,train,1,1
853,case33bw,14,train,1,1
854,case33bw,36,calibration,1,-1
855,case33bw,29,calibration,1,-1
856,case33bw,9,train,1,2
857,case33bw,12,selection,1,-1
858,case33bw,11,calibration,1,-1
859,case33bw,54,train,1,2
860,case33bw,2,train,1,0
861,case33bw,2,train,1,0
862,case33bw,14,train,1,1
863,case33bw,42,calibration,1,-1
864,case33bw,28,calibration,1,-1
865,case33bw,23,train,1,0
866,case33bw,55,train,1,1
867,case33bw,52,test,1,-1
868,case33bw,2,train,1,0
869,case33bw,27,calibration,1,-1
870,case33bw,17,test,1,-1
871,case33bw,58,test,1,-1
872,case33bw,41,calibration,1,-1
873,case33bw,12,selection,1,-1
874,case33bw,17,test,1,-1
875,case33bw,17,test,1,-1
